Comment,Quantity,Designator,Footprint,Part#,Digikey,AliExpress
YC2VGA,,,,,,
Yellow RCA Composite jack,1,,,Color: Yellow,,https://www.aliexpress.us/item/3256805949533421.html
S-Video jack,1,,,Color: A 4Pin,,https://www.aliexpress.us/item/3256804041313042.html
PJ-320 3.5MM Headphone Jack Audio Video Female,1,,,Color: 10PCS PJ-320,,https://www.aliexpress.us/item/3256805995568762.html
VGA Male,1,,,L717HDE15PD4CH4R-ND,https://www.digikey.com/en/products/detail/amphenol-cs-commercial-products/L717HDE15PD4CH4R/4886543,
